ID,costCenterForDisplay,costCenter,emailAddress,mobileNumber,resourceName,firstName,lastName,employeeExternalID,managerName,workforcePersonID,avgUtilization,bookedHours,availableHours,freeHours,managerName,jobTitle,country,assignmentExistsForTheResource,startdatenew,resourceOrganizationIdForDisplay,resourceOrganizationNameForDisplay,isPhotoPresent,workerType
e4beae01-a0ef-41fa-9037-e4da36a12741,(US01),(US01),Musk.Ayan@sap.com,'+49-6227-31002',Ayan Musk,Ayan,Musk,6615314ed515,Amrit Manne,000b431d-6056-6aba-b3a4-6615314ed515,0,null,null,44,Manager 1.1,jobTitle 1.1,US,FALSE,19-04-19,RM-TA-US01,Delivery Org Unit ( America),FALSE,External Worker
eb1b4575-5f0d-45f9-befa-a3cq43def0ea,(US02),(US02),Ma.Kim@sap.com,'+49-6227-31002',Kim Ma,Kim,Ma,6615314ed6615,Sahil Bose,00aa293f-924d-70b8-2fdb-72eb5ce08207,32,null,null,10,Manager 1.2,jobTitle 1.2,US,FALSE,19-04-19,RM-TA-US02,Delivery Org Unit ( America),FALSE,Employee
7a4da86a-94cd-4969-a297-cf066038d6f8,(DE01),(DE01),Tendulkar.Vishwanathan @sap.com,'+49-6227-31002',Vishwanathan Tendulkar,Vishwanathan ,Tendulkar,6615314ed6715,Gulab Borah,0090e65c-620d-c365-a8a9-b20d74c47bcd,58,null,null,18,Manager 1.3,jobTitle 1.3,DE,TRUE,19-04-19,RM-TA-DE01,Delivery Org Unit (Germany),TRUE,External Worker
a9e19a53-e9d5-4820-8665-c978b575f646,(DE02),(DE02),Salah.Tiger@sap.com,'+1-419-6100003',Tiger Salah,Tiger,Salah,6615314ed6815,Babita Johal,00141f72-06c2-0102-cf4a-d0632810a728,175,null,null,24,Manager 1.4,jobTitle 1.4,DE,TRUE,19-04-19,RM-TA-DE02,Delivery Org Unit (Germany),TRUE,Employee
f09e2fa7-bd0e-4064-acd8-3c9f42baf0e7,(IN01),(IN01),Tendulkar.Sachin@sap.com,'+1-419-6100003',Sachin Tendulkar,Sachin,Tendulkar,6615314ed6915,Rupesh Modi,00248ddf-3e83-23c7-2c2b-ba7db014a0c2,134,null,null,8,Manager 1.5,jobTitle 1.5,IN,FALSE,19-04-19,RM-TA-IN01,Delivery Org Unit (India),FALSE,External Worker
d660dbb9-7e5a-4241-ba72-30d18ce8edd2,(IN02),(IN02),Ma.Vishwanathan@sap.com,'+1-419-6100003',Vishwanathan Ma,Vishwanathan,Ma,6615314ed7015,Kamlesh Shanker,00d0f60f-4684-e9d2-6026-0a4ded7d6dee,109,null,null,38,Manager 1.6,jobTitle 1.6,IN,FALSE,19-04-19,RM-TA-IN02,Delivery Org Unit (India),FALSE,Employee
e5e3d7b8-1891-4d3f-80de-856b80217c88,(US01),(US01),Salah.Serena@sap.com,'+1-419-6100003',Serena Salah,Serena,Salah,6615314ed7115,Rakhi Amble,00845d6f-dd15-b336-fe91-1ef2f89329db,53,null,null,3,Manager 1.7,jobTitle 1.7,US,FALSE,19-04-19,RM-TA-US01,Delivery Org Unit ( America),FALSE,External Worker
000900bc-0dfa-b992-a4af-b4ea5bbbcf69,(US02),(US02),Kardashian.Jack@sap.com,'+91-81419-41004',Jack Kardashian,Jack,Kardashian,6615314ed7215,Usha Gour,003c8d54-ed39-713f-6c80-3ac8769b0ebf,19,null,null,7,Manager 1.8,jobTitle 1.8,US,FALSE,19-04-19,RM-TA-US02,Delivery Org Unit ( America),FALSE,Employee
9e2550e9-ab47-4807-b39b-0658917a1645,(DE01),(DE01),Kardashian.Alex@sap.com,'+91-81419-41004',Alex Kardashian,Alex,Kardashian,6615314ed7315,Mukul Savant,6f341768-e820-4917-bd57-47db3bdb2faa,47,null,null,16,Manager 1.9,jobTitle 1.9,DE,TRUE,19-04-19,RM-TA-DE01,Delivery Org Unit (Germany),TRUE,External Worker
b178837c-545d-4b65-9462-5ffw402464f0,(DE02),(DE02),Winfrey.Jack@sap.com,'+91-81419-41004',Jack Winfrey,Jack,Winfrey,6615314ed7415,Divya Beharry,8b87b35f-f828-403a-92a9-f1e4e0540837,63,null,null,5,Manager 1.10,jobTitle 1.10,DE,FALSE,19-04-19,RM-TA-DE02,Delivery Org Unit (Germany),FALSE,Employee
